time, action, id, version, name, status, code, sampling interval (s), sampling resolution (C), samples, time diff (s), start time, lat, long, accuracy, device
2023-08-30 16:55:27 UTC+0100, TAP LOGGER, 0448 1E00 214F 03, NA, uksclh05a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 54.972392, -5.179595, 6.4, Armor X10 Pro
2023-08-30 16:56:02 UTC+0100, DATA DOWNLOADED, 0448 1E00 214F 03, NA, uksclh05a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:56:11 UTC+0100, CODE CHANGE, 0448 1E00 214F 03, T2.4, uksclh05a,MISSION RUNNING, 3636, 3600, 0.1, 11266, 862, 2022-05-18 08:00:32 UTC+0100, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:56:13 UTC+0100, START MISSION, 0448 1E00 214F 03, T2.4, uksclh05a,WAITING TO START, 3636, 3600, 0.1, NA, -3, 2023-08-30 17:00:00 UTC+0100, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:56:31 UTC+0100, TAP LOGGER, 0495 7100 3710 08, NA, uksclh05b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:57:05 UTC+0100, DATA DOWNLOADED, 0495 7100 3710 08, NA, uksclh05b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:57:10 UTC+0100, START MISSION, 0495 7100 3710 08, T2.4, uksclh05b,WAITING TO START, 3636, 3600, 0.1, NA, -1, 2023-08-30 17:00:01 UTC+0100, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:57:11 UTC+0100, START MISSION, 0495 7100 3710 08, T2.4, uksclh05b,WAITING TO START, 3636, 3600, 0.1, NA, -1, 2023-08-30 17:00:01 UTC+0100, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:57:22 UTC+0100, TAP LOGGER, 044D 9000 8158 02, NA, uksclc05b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:57:43 UTC+0100, DATA DOWNLOADED, 044D 9000 8158 02, NA, uksclc05b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:57:46 UTC+0100, CODE CHANGE, 044D 9000 8158 02, T7.3, uksclc05b,MISSION RUNNING, 3636, 3600, 0.1, 11266, 24, 2022-05-18 07:41:40 UTC+0100, 54.972318, -5.179540, 4.6, Armor X10 Pro
2023-08-30 16:57:47 UTC+0100, START MISSION, 044D 9000 8158 02, T7.3, uksclc05b,WAITING TO START, 3636, 3600, 0.1, NA, 2, 2023-08-30 17:00:00 UTC+0100, 54.972318, -5.179540, 4.6, Armor X10 Pro
