------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.3
downloading device type, android
device, Armor X10 Pro
device name, coastalwarming_15
downloading mode, auto
------------------------------,--------------------
serial number, 0466 4D00 2515 10
custom name, Ukagsh01b
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 2200
time diff [logger-smartphone](sec), -1693502947
lat, 53.319227
long, -4.661527
accuracy (m), 1.4
------------------------------,--------------------
time,temp
2022-05-14 13:00:20,31.0
2022-05-14 14:00:20,28.1
2022-05-14 15:00:20,28.1
2022-05-14 16:00:20,24.6
2022-05-14 17:00:20,22.4
2022-05-14 18:00:20,21.9
2022-05-14 19:00:20,20.1
2022-05-14 20:00:20,18.2
2022-05-14 21:00:20,17.1
2022-05-14 22:00:20,16.5
2022-05-14 23:00:20,15.9
2022-05-15 00:00:20,14.7
2022-05-15 01:00:20,14.6
2022-05-15 02:00:20,14.3
2022-05-15 03:00:20,12.9
2022-05-15 04:00:20,12.9
2022-05-15 05:00:20,12.9
2022-05-15 06:00:20,16.2
2022-05-15 07:00:20,16.3
2022-05-15 08:00:20,17.5
2022-05-15 09:00:20,18.6
2022-05-15 10:00:20,29.1
2022-05-15 11:00:20,22.7
2022-05-15 12:00:20,27.7
2022-05-15 13:00:20,26.0
2022-05-15 14:00:20,21.2
2022-05-15 15:00:20,20.8
2022-05-15 16:00:20,20.3
2022-05-15 17:00:20,20.2
2022-05-15 18:00:20,19.7
2022-05-15 19:00:20,18.9
2022-05-15 20:00:20,18.2
2022-05-15 21:00:20,16.7
2022-05-15 22:00:20,16.0
2022-05-15 23:00:20,15.5
2022-05-16 00:00:20,14.4
2022-05-16 01:00:20,14.2
2022-05-16 02:00:20,14.4
2022-05-16 03:00:20,14.5
2022-05-16 04:00:20,14.1
2022-05-16 05:00:20,14.0
2022-05-16 06:00:20,13.9
2022-05-16 07:00:20,13.9
2022-05-16 08:00:20,14.3
2022-05-16 09:00:20,16.9
2022-05-16 10:00:20,14.9
2022-05-16 11:00:20,16.3
2022-05-16 12:00:20,20.1
2022-05-16 13:00:20,18.0
2022-05-16 14:00:20,15.9
2022-05-16 15:00:20,15.3
2022-05-16 16:00:20,16.3
2022-05-16 17:00:20,15.7
2022-05-16 18:00:20,15.4
2022-05-16 19:00:20,14.6
2022-05-16 20:00:20,13.7
2022-05-16 21:00:20,13.5
2022-05-16 22:00:20,13.4
2022-05-16 23:00:20,13.4
2022-05-17 00:00:20,12.3
2022-05-17 01:00:20,12.6
2022-05-17 02:00:20,12.9
2022-05-17 03:00:20,12.4
2022-05-17 04:00:20,12.3
2022-05-17 05:00:20,13.1
