time, action, id, version, name, status, code, sampling interval (s), sampling resolution (C), samples, time diff (s), start time, lat, long, accuracy, device
2023-08-31 15:53:43 UTC+0100, TAP LOGGER, 042B EF00 4106 0C, NA, ukagmh03a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, NA, Armor X10 Pro
2023-08-31 15:54:04 UTC+0100, DATA DOWNLOADED, 042B EF00 4106 0C, NA, ukagmh03a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.319723, -4.660893, 5.9, Armor X10 Pro
2023-08-31 15:54:13 UTC+0100, CODE CHANGE, 042B EF00 4106 0C, T7.3, ukagmh03a,MISSION RUNNING, 3636, 3600, 0.1, 11377, 19, 2022-05-14 15:00:00 UTC+0100, 53.319723, -4.660893, 5.9, Armor X10 Pro
2023-08-31 15:54:13 UTC+0100, START MISSION, 042B EF00 4106 0C, T7.3, ukagmh03a,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-08-31 16:00:00 UTC+0100, 53.319723, -4.660893, 5.9, Armor X10 Pro
2023-08-31 15:55:47 UTC+0100, TAP LOGGER, 04F4 4500 0A16 05, NA, ukagmh02a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.319690, -4.660842, 1.6, Armor X10 Pro
2023-08-31 15:56:22 UTC+0100, DATA DOWNLOADED, 04F4 4500 0A16 05, NA, ukagmh02a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.319690, -4.660842, 1.6, Armor X10 Pro
2023-08-31 15:56:26 UTC+0100, CODE CHANGE, 04F4 4500 0A16 05, T2.4, ukagmh02a,MISSION RUNNING, 3636, 3600, 0.1, 11378, 716, 2022-05-14 15:00:13 UTC+0100, 53.319690, -4.660842, 1.6, Armor X10 Pro
2023-08-31 15:56:28 UTC+0100, START MISSION, 04F4 4500 0A16 05, T2.4, ukagmh02a,WAITING TO START, 3636, 3600, 0.1, NA, -2, 2023-08-31 16:00:01 UTC+0100, 53.319690, -4.660842, 1.6, Armor X10 Pro
2023-08-31 15:59:10 UTC+0100, TAP LOGGER, 0462 2900 DC51 03, NA, ukagmh01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.319713, -4.660775, 1.8, Armor X10 Pro
2023-08-31 15:59:44 UTC+0100, DATA DOWNLOADED, 0462 2900 DC51 03, NA, ukagmh01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.319713, -4.660775, 1.8, Armor X10 Pro
2023-08-31 15:59:48 UTC+0100, CODE CHANGE, 0462 2900 DC51 03, T2.4, ukagmh01a,MISSION RUNNING, 3636, 3600, 0.1, 11378, 444, 2022-05-14 15:00:12 UTC+0100, 53.319713, -4.660775, 1.8, Armor X10 Pro
2023-08-31 15:59:50 UTC+0100, START MISSION, 0462 2900 DC51 03, T2.4, ukagmh01a,WAITING TO START, 3636, 3600, 0.1, NA, -4, 2023-08-31 16:00:00 UTC+0100, 53.319713, -4.660775, 1.8, Armor X10 Pro
