------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 5.3
downloading device type, android
device, Armor X10 Pro
device name, coastalwarming_15
downloading mode, auto
------------------------------,--------------------
serial number, 0470 5F00 924D 0B
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 0
time diff [logger-smartphone](sec), -1336468752
lat, 52.125752
long, -10.109810
accuracy (m), 1.6
------------------------------,--------------------
time,temp
