time, action, id, version, name, status, code, sampling interval (s), sampling resolution (C), samples, time diff (s), start time, lat, long, accuracy, device
2023-09-01 11:16:30 UTC+0100, TAP LOGGER, 04FA A000 7C15 01, NA, ieminmh04c, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125785, -10.109763, 2.1, Armor X10 Pro
2023-09-01 11:16:50 UTC+0100, DATA DOWNLOADED, 04FA A000 7C15 01, NA, ieminmh04c, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125757, -10.109705, 2.2, Armor X10 Pro
2023-09-01 11:16:58 UTC+0100, CODE CHANGE, 04FA A000 7C15 01, T7.3, ieminmh04c,MISSION RUNNING, 3636, 3600, 0.1, 11377, 24, 2022-05-15 10:29:33 UTC+0100, 52.125757, -10.109705, 2.2, Armor X10 Pro
2023-09-01 11:16:59 UTC+0100, START MISSION, 04FA A000 7C15 01, T7.3, ieminmh04c,WAITING TO START, 3636, 3600, 0.1, NA, 2, 2023-09-01 12:00:00 UTC+0100, 52.125757, -10.109705, 2.2, Armor X10 Pro
2023-09-01 11:17:29 UTC+0100, TAP LOGGER, 043D 0F00 050C 0F, NA, ieminlh03b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125712, -10.109773, 1.6, Armor X10 Pro
2023-09-01 11:17:51 UTC+0100, DATA DOWNLOADED, 043D 0F00 050C 0F, NA, ieminlh03b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125712, -10.109773, 1.6, Armor X10 Pro
2023-09-01 11:17:54 UTC+0100, CODE CHANGE, 043D 0F00 050C 0F, T7.3, ieminlh03b,MISSION RUNNING, 3636, 3600, 0.1, 11377, 28, 2022-05-15 10:29:50 UTC+0100, 52.125712, -10.109773, 1.6, Armor X10 Pro
2023-09-01 11:17:55 UTC+0100, START MISSION, 043D 0F00 050C 0F, T7.3, ieminlh03b,WAITING TO START, 3636, 3600, 0.1, NA, 2, 2023-09-01 12:00:00 UTC+0100, 52.125712, -10.109773, 1.6, Armor X10 Pro
2023-09-01 11:18:29 UTC+0100, TAP LOGGER, 04BC 4600 D641 0E, NA, ieminlh03d, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125712, -10.109773, 1.6, Armor X10 Pro
2023-09-01 11:18:50 UTC+0100, DATA DOWNLOADED, 04BC 4600 D641 0E, NA, ieminlh03d, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125712, -10.109773, 1.6, Armor X10 Pro
2023-09-01 11:18:54 UTC+0100, CODE CHANGE, 04BC 4600 D641 0E, T6.0, ieminlh03d,MISSION RUNNING, 3636, 3600, 0.1, 11378, 375, 2022-05-15 09:58:59 UTC+0100, 52.125712, -10.109773, 1.6, Armor X10 Pro
2023-09-01 11:18:55 UTC+0100, START MISSION, 04BC 4600 D641 0E, T6.0, ieminlh03d,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-01 11:59:53 UTC+0100, 52.125712, -10.109773, 1.6, Armor X10 Pro
2023-09-01 11:20:30 UTC+0100, TAP LOGGER, 0427 A800 C95B 02, NA, ieminlh04a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125723, -10.109713, 1.5, Armor X10 Pro
2023-09-01 11:20:52 UTC+0100, DATA DOWNLOADED, 0427 A800 C95B 02, NA, ieminlh04a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125723, -10.109713, 1.5, Armor X10 Pro
2023-09-01 11:20:55 UTC+0100, CODE CHANGE, 0427 A800 C95B 02, T6.0, ieminlh04a,MISSION RUNNING, 3636, 3600, 0.1, 11378, 301, 2022-05-15 09:58:59 UTC+0100, 52.125723, -10.109713, 1.5, Armor X10 Pro
2023-09-01 11:20:56 UTC+0100, START MISSION, 0427 A800 C95B 02, T6.0, ieminlh04a,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-01 11:59:54 UTC+0100, 52.125723, -10.109713, 1.5, Armor X10 Pro
2023-09-01 11:25:00 UTC+0100, TAP LOGGER, 0496 B400 FB7A 10, NA, ieminlc05a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:25:21 UTC+0100, DATA DOWNLOADED, 0496 B400 FB7A 10, NA, ieminlc05a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:25:25 UTC+0100, CODE CHANGE, 0496 B400 FB7A 10, T7.3, ieminlc05a,MISSION RUNNING, 3636, 3600, 0.1, 11377, 0, 2022-05-15 10:30:07 UTC+0100, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:25:25 UTC+0100, START MISSION, 0496 B400 FB7A 10, T7.3, ieminlc05a,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-01 12:00:00 UTC+0100, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:26:09 UTC+0100, TAP LOGGER, 042F 0800 9B0E 0A, NA, ieminlc05d, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:26:30 UTC+0100, DATA DOWNLOADED, 042F 0800 9B0E 0A, NA, ieminlc05d, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:26:34 UTC+0100, CODE CHANGE, 042F 0800 9B0E 0A, T6.0, ieminlc05d,MISSION RUNNING, 3636, 3600, 0.1, 11378, 244, 2022-05-15 09:58:59 UTC+0100, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:26:34 UTC+0100, START MISSION, 042F 0800 9B0E 0A, T6.0, ieminlc05d,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-01 11:59:33 UTC+0100, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:27:27 UTC+0100, TAP LOGGER, 04D4 4900 4521 0A, NA, ieminlc05b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:27:36 UTC+0100, DATA DOWNLOADED, 04D4 4900 4521 0A, NA, ieminlc05b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 52.125747, -10.109785, 1.5, Armor X10 Pro
2023-09-01 11:27:40 UTC+0100, CODE CHANGE, 04D4 4900 4521 0A, T3.4, ieminlc05b,DEPLETED BATTERY, 3636, 3600, 0.1, 2370, NA, 2022-05-15 09:59:54 UTC+0100, 52.125747, -10.109785, 1.5, Armor X10 Pro
