------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.3
downloading device type, android
device, Armor X10 Pro
device name, coastalwarming_15
downloading mode, auto
------------------------------,--------------------
serial number, 0447 9400 9721 06
custom name, ieemlsh01b
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 0
time diff [logger-smartphone](sec), -1693659395
lat, 53.751047
long, -9.903898
accuracy (m), 1.5
------------------------------,--------------------
time,temp
