------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 5.3
downloading device type, android
device, Armor X10 Pro
device name, coastalwarming_15
downloading mode, auto
------------------------------,--------------------
serial number, 04D7 9A00 D929 0A
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 0
time diff [logger-smartphone](sec), -1336384891
lat, 53.751047
long, -9.903898
accuracy (m), 1.5
------------------------------,--------------------
time,temp
