time, action, id, version, name, status, code, sampling interval (s), sampling resolution (C), samples, time diff (s), start time, lat, long, accuracy, device
2023-09-02 00:00:20 UTC+0100, TAP LOGGER, 04D0 DC00 340D 0F, T2.4, iespimh03a,MISSION RUNNING, 3636, 3600, 0.1, 1, -4, 2023-09-02 00:00:06 UTC+0100, 53.238838, -9.315392, 1.8, Armor X10 Pro
2023-09-02 00:00:32 UTC+0100, TAP LOGGER, 04B2 1B00 7541 0F, T2.4, iespimh02a,MISSION RUNNING, 3636, 3600, 0.1, 1, -3, 2023-09-02 00:00:05 UTC+0100, 53.238800, -9.315445, 1.3, Armor X10 Pro
2023-09-02 12:06:16 UTC+0100, UNKNOW, 0478 BF00 B737 02, T7.3, ,NO MISSION, 0000, NA, NA, NA, NA, NA, NA, NA, NA, Armor X10 Pro
2023-09-02 12:06:23 UTC+0100, TAP LOGGER, 04A4 D700 9511 0F, NA, ieemlmh03b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, NA, Armor X10 Pro
2023-09-02 12:06:44 UTC+0100, DATA DOWNLOADED, 04A4 D700 9511 0F, NA, ieemlmh03b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750680, -9.903122, 9.5, Armor X10 Pro
2023-09-02 12:06:52 UTC+0100, CODE CHANGE, 04A4 D700 9511 0F, T6.0, ieemlmh03b,MISSION RUNNING, 3636, 3600, 0.1, 11377, 468, 2022-05-16 10:58:59 UTC+0100, 53.750732, -9.903128, 5.6, Armor X10 Pro
2023-09-02 12:06:53 UTC+0100, START MISSION, 04A4 D700 9511 0F, T6.0, ieemlmh03b,WAITING TO START, 3636, 3600, 0.1, NA, 2, 2023-09-02 12:59:51 UTC+0100, 53.750732, -9.903128, 5.6, Armor X10 Pro
2023-09-02 12:07:42 UTC+0100, TAP LOGGER, 049B 2900 4706 03, NA, ieemlmh02b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:08:03 UTC+0100, DATA DOWNLOADED, 049B 2900 4706 03, NA, ieemlmh02b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:08:07 UTC+0100, CODE CHANGE, 049B 2900 4706 03, T7.3, ieemlmh02b,MISSION RUNNING, 3636, 3600, 0.1, 11378, -654, 2022-05-16 10:54:28 UTC+0100, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:08:07 UTC+0100, START MISSION, 049B 2900 4706 03, T7.3, ieemlmh02b,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-02 13:00:00 UTC+0100, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:08:20 UTC+0100, TAP LOGGER, 049B 2900 4706 03, T7.3, ieemlmh02b,WAITING TO START, 3636, 3600, 0.1, NA, 2, 2023-09-02 13:00:11 UTC+0100, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:08:21 UTC+0100, DATA DOWNLOADED, 049B 2900 4706 03, T7.3, ieemlmh02b,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-02 13:00:14 UTC+0100, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:08:24 UTC+0100, START MISSION, 049B 2900 4706 03, T7.3, ieemlmh02b,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-02 13:00:00 UTC+0100, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:09:06 UTC+0100, TAP LOGGER, 049A B600 3629 09, NA, ieemlmh01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:09:41 UTC+0100, DATA DOWNLOADED, 049A B600 3629 09, NA, ieemlmh01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:09:45 UTC+0100, START MISSION, 049A B600 3629 09, T2.4, ieemlmh01a,WAITING TO START, 3636, 3600, 0.1, NA, -1, 2023-09-02 13:00:01 UTC+0100, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:09:46 UTC+0100, START MISSION, 049A B600 3629 09, T2.4, ieemlmh01a,WAITING TO START, 3636, 3600, 0.1, NA, -1, 2023-09-02 13:00:01 UTC+0100, 53.750710, -9.903202, 1.6, Armor X10 Pro
2023-09-02 12:11:38 UTC+0100, TAP LOGGER, 04F4 3D00 7D47 0D, NA, ieemlmc01c, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750675, -9.903248, 1.5, Armor X10 Pro
2023-09-02 12:12:00 UTC+0100, DATA DOWNLOADED, 04F4 3D00 7D47 0D, NA, ieemlmc01c, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750675, -9.903248, 1.5, Armor X10 Pro
2023-09-02 12:12:03 UTC+0100, CODE CHANGE, 04F4 3D00 7D47 0D, T7.3, ieemlmc01c,MISSION RUNNING, 3636, 3600, 0.1, 11378, 39, 2022-05-16 10:54:13 UTC+0100, 53.750675, -9.903248, 1.5, Armor X10 Pro
2023-09-02 12:12:04 UTC+0100, START MISSION, 04F4 3D00 7D47 0D, T7.3, ieemlmc01c,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-02 13:00:00 UTC+0100, 53.750675, -9.903248, 1.5, Armor X10 Pro
2023-09-02 12:14:07 UTC+0100, TAP LOGGER, 0467 1700 AC0C 10, NA, ieemlmc02b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750715, -9.903287, 1.4, Armor X10 Pro
2023-09-02 12:14:28 UTC+0100, DATA DOWNLOADED, 0467 1700 AC0C 10, NA, ieemlmc02b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750715, -9.903287, 1.4, Armor X10 Pro
2023-09-02 12:14:31 UTC+0100, CODE CHANGE, 0467 1700 AC0C 10, T6.0, ieemlmc02b,MISSION RUNNING, 3636, 3600, 0.1, 11378, 355, 2022-05-16 10:58:59 UTC+0100, 53.750715, -9.903287, 1.4, Armor X10 Pro
2023-09-02 12:14:32 UTC+0100, START MISSION, 0467 1700 AC0C 10, T6.0, ieemlmc02b,WAITING TO START, 3636, 3600, 0.1, NA, 2, 2023-09-02 12:59:30 UTC+0100, 53.750715, -9.903287, 1.4, Armor X10 Pro
2023-09-02 12:18:06 UTC+0100, TAP LOGGER, 04EB 5700 6017 04, NA, ieemlmc03b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750743, -9.903222, 1.4, Armor X10 Pro
2023-09-02 12:18:41 UTC+0100, DATA DOWNLOADED, 04EB 5700 6017 04, NA, ieemlmc03b, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750743, -9.903222, 1.4, Armor X10 Pro
2023-09-02 12:18:44 UTC+0100, CODE CHANGE, 04EB 5700 6017 04, T2.4, ieemlmc03b,MISSION RUNNING, 3636, 3600, 0.1, 11378, 424, 2022-05-16 11:00:28 UTC+0100, 53.750743, -9.903222, 1.4, Armor X10 Pro
2023-09-02 12:18:46 UTC+0100, START MISSION, 04EB 5700 6017 04, T2.4, ieemlmc03b,WAITING TO START, 3636, 3600, 0.1, NA, -2, 2023-09-02 13:00:01 UTC+0100, 53.750743, -9.903222, 1.4, Armor X10 Pro
2023-09-02 12:22:30 UTC+0100, TAP LOGGER, 04D9 F500 F713 0E, NA, ieemllh04a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750683, -9.903120, 5.8, Armor X10 Pro
2023-09-02 12:22:39 UTC+0100, TAP LOGGER, 04D9 F500 F713 0E, NA, ieemllh04a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750700, -9.903323, 2.0, Armor X10 Pro
2023-09-02 12:23:00 UTC+0100, DATA DOWNLOADED, 04D9 F500 F713 0E, NA, ieemllh04a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750713, -9.903397, 1.5, Armor X10 Pro
2023-09-02 12:23:03 UTC+0100, CODE CHANGE, 04D9 F500 F713 0E, T6.0, ieemllh04a,MISSION RUNNING, 3636, 3600, 0.1, 11378, 370, 2022-05-16 10:59:59 UTC+0100, 53.750713, -9.903397, 1.5, Armor X10 Pro
2023-09-02 12:23:04 UTC+0100, START MISSION, 04D9 F500 F713 0E, T6.0, ieemllh04a,WAITING TO START, 3636, 3600, 0.1, NA, 1, 2023-09-02 12:59:02 UTC+0100, 53.750713, -9.903397, 1.5, Armor X10 Pro
2023-09-02 12:26:33 UTC+0100, TAP LOGGER, 0409 A300 9C2C 0E, NA, ieemllh01d, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750713, -9.903397, 1.5, Armor X10 Pro
2023-09-02 12:26:53 UTC+0100, TAP LOGGER, 0409 A300 9C2C 0E, NA, ieemllh01d, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750713, -9.903397, 1.5, Armor X10 Pro
2023-09-02 12:27:10 UTC+0100, DATA DOWNLOADED, 0409 A300 9C2C 0E, NA, ieemllh01d, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750713, -9.903397, 1.5, Armor X10 Pro
2023-09-02 12:27:15 UTC+0100, CODE CHANGE, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 5015, NA, 2022-05-16 12:00:07 UTC+0100, 53.750713, -9.903397, 1.5, Armor X10 Pro
2023-09-02 12:27:17 UTC+0100, ERROR START, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 5015, NA, 2022-05-16 12:00:07 UTC+0100, 53.750713, -9.903397, 1.5, Armor X10 Pro
2023-09-02 12:27:44 UTC+0100, TAP LOGGER, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 0, NA, 1970-01-01 01:00:00 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:27:46 UTC+0100, DATA DOWNLOADED, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 0, NA, 1970-01-01 01:00:00 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:27:50 UTC+0100, ERROR START, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 0, NA, 1970-01-01 01:00:00 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:27:55 UTC+0100, TAP LOGGER, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 0, NA, 1970-01-01 01:00:00 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:27:57 UTC+0100, DATA DOWNLOADED, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 0, NA, 1970-01-01 01:00:00 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:28:01 UTC+0100, ERROR START, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 0, NA, 1970-01-01 01:00:00 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:28:11 UTC+0100, TAP LOGGER, 0409 A300 9C2C 0E, T2.4, ieemllh01d,DEPLETED BATTERY, 3636, 3600, 0.5, 0, NA, 1970-01-01 01:00:00 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:28:29 UTC+0100, TAP LOGGER, 04F5 BF00 9563 0F, NA, ieemllh01c, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:28:51 UTC+0100, DATA DOWNLOADED, 04F5 BF00 9563 0F, NA, ieemllh01c, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:28:54 UTC+0100, CODE CHANGE, 04F5 BF00 9563 0F, T7.3, ieemllh01c,MISSION RUNNING, 3636, 3600, 0.1, 11378, 12, 2022-05-16 11:22:02 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:28:55 UTC+0100, START MISSION, 04F5 BF00 9563 0F, T7.3, ieemllh01c,WAITING TO START, 3636, 3600, 0.1, NA, 2, 2023-09-02 13:00:00 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:29:21 UTC+0100, TAP LOGGER, 04BC 9300 2E12 05, NA, ieemllh01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:29:42 UTC+0100, DATA DOWNLOADED, 04BC 9300 2E12 05, NA, ieemllh01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:29:45 UTC+0100, CODE CHANGE, 04BC 9300 2E12 05, T6.0, ieemllh01a,MISSION RUNNING, 3636, 3600, 0.1, 11378, 77, 2022-05-16 11:00:59 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
2023-09-02 12:29:46 UTC+0100, START MISSION, 04BC 9300 2E12 05, T6.0, ieemllh01a,WAITING TO START, 3636, 3600, 0.1, NA, 2, 2023-09-02 12:59:44 UTC+0100, 53.750693, -9.903387, 3.3, Armor X10 Pro
